trip_id,arrival_time,departure_time,stop_id,stop_sequence
3652883_WW_Via Fermi_Via Della Quercia_3652882,6:48:00,6:48:00,2513732553,0
3652883_WW_Via Fermi_Via Della Quercia_3652882,6:49:00,6:49:00,2694161574,1
3652883_WW_Via Fermi_Via Della Quercia_3652882,6:50:00,6:50:00,2916221165,2
3652883_WW_Via Fermi_Via Della Quercia_3652882,6:54:00,6:54:00,2509490278,3
3652883_WW_Via Fermi_Via Della Quercia_3652882,6:55:00,6:55:00,2916221171,4
3652883_WW_Via Fermi_Via Della Quercia_3652882,6:57:00,6:57:00,2916221163,5
3652883_WW_Via Fermi_Via Della Quercia_3652882,6:58:00,6:58:00,2916221161,6
3652883_WW_Via Fermi_Via Della Quercia_3652882,7:00:00,7:00:00,2916259081,7
3652883_WW_Via Fermi_Via Della Quercia_3652882,7:01:00,7:01:00,2694161614,8
3775826_WW_Via Frangione_Via Fermi_3302783,6:50:00,6:50:00,2513695158,0
3775826_WW_Via Frangione_Via Fermi_3302783,7:01:00,7:01:00,2513702648,1
3775826_WW_Via Frangione_Via Fermi_3302783,7:02:00,7:02:00,2513702931,2
3775826_WW_Via Frangione_Via Fermi_3302783,7:03:00,7:03:00,2879608146,3
3775826_WW_Via Frangione_Via Fermi_3302783,7:04:00,7:04:00,2513703724,4
3775826_WW_Via Frangione_Via Fermi_3302783,7:05:00,7:05:00,2883502421,5
3775826_WW_Via Frangione_Via Fermi_3302783,7:07:00,7:07:00,2883574827,6
3775826_WW_Via Frangione_Via Fermi_3302783,7:08:00,7:08:00,2513717445,7
3775826_WW_Via Frangione_Via Fermi_3302783,7:09:00,7:09:00,2513718937,8
3775826_WW_Via Frangione_Via Fermi_3302783,7:10:00,7:10:00,2513721252,9
3775826_WW_Via Frangione_Via Fermi_3302783,7:11:00,7:11:00,2513723583,10
3775826_WW_Via Frangione_Via Fermi_3302783,7:12:00,7:12:00,2513728385,11
3775826_WW_Via Frangione_Via Fermi_3302783,7:13:00,7:13:00,2513729393,12
3775826_WW_Via Frangione_Via Fermi_3302783,7:15:00,7:15:00,2513729870,13
3775826_WW_Via Frangione_Via Fermi_3302783,7:19:00,7:19:00,2513732451,14
3775826_WW_Via Frangione_Via Fermi_3302783,7:20:00,7:20:00,2513732553,15
3775826_WW_Via Fermi_Via Frangione_3303207,6:20:00,6:20:00,2513732553,0
3775826_WW_Via Fermi_Via Frangione_3303207,6:21:00,6:21:00,2694161574,1
3775826_WW_Via Fermi_Via Frangione_3303207,6:24:00,6:24:00,2513733648,2
3775826_WW_Via Fermi_Via Frangione_3303207,6:25:00,6:25:00,2513665689,3
3775826_WW_Via Fermi_Via Frangione_3303207,6:26:00,6:26:00,2513735331,4
3775826_WW_Via Fermi_Via Frangione_3303207,6:27:00,6:27:00,2694161588,5
3775826_WW_Via Fermi_Via Frangione_3303207,6:28:00,6:28:00,2694161642,6
3775826_WW_Via Fermi_Via Frangione_3303207,6:30:00,6:30:00,2513737498,7
3775826_WW_Via Fermi_Via Frangione_3303207,6:31:00,6:31:00,2694161646,8
3775826_WW_Via Fermi_Via Frangione_3303207,6:32:00,6:32:00,2513738090,9
3775826_WW_Via Fermi_Via Frangione_3303207,6:33:00,6:33:00,2694161631,10
3775826_WW_Via Fermi_Via Frangione_3303207,6:34:00,6:34:00,2694161618,11
3775826_WW_Via Fermi_Via Frangione_3303207,6:35:00,6:35:00,2694161535,12
3775826_WW_Via Fermi_Via Frangione_3303207,6:36:00,6:36:00,2694161520,13
3775826_WW_Via Fermi_Via Frangione_3303207,6:38:00,6:38:00,2694161614,14
3775826_WW_Via Fermi_Via Frangione_3303207,6:41:00,6:41:00,2694161594,15
3775826_WW_Via Fermi_Via Frangione_3303207,6:42:00,6:42:00,2694161601,16
