line_id,service_id,start_date,end_date,start_time,end_time,r_start_time,r_end_time
1,WW,20140901,20140630,6:20,21:20,7:00,21:00
1,SW,20140701,20140831,6:20,13:20,7:00,13:00
1,SW,20140701,20140831,15:20,21:20,16:00,21:50
2,WW,20140901,20140630,6:50,21:30,00:00,00:00
2,SW,20140701,20140831,6:50,13:30,00:00,00:00
2,SW,20140701,20140831,15:50,21:30,00:00,00:00
2,NW,20140101,20141231,7:50,13:30,00:00,00:00
2,NW,20140101,20141231,15:50,21:30,00:00,00:00
3,WW,20140901,20140630,7:30,20:30,00:00,00:00
3,SW,20140701,20140831,7:30,12:30,00:00,00:00
3,SW,20140701,20140831,15:30,20:30,00:00,00:00
3,NW,20140101,20141231,8:30,13:30,00:00,00:00
3,NW,20140101,20141231,16:30,21:30,00:00,00:00
4,WW,20140901,20140630,7:04,21:40,00:00,00:00
4,SW,20140701,20140831,7:04,13:40,00:00,00:00
4,SW,20140701,20140831,15:04,21:40,00:00,00:00
4,NW,20140101,20141231,8:04,13:40,00:00,00:00
4,NW,20140101,20141231,16:04,21:40,00:00,00:00
5,WW,20140901,20140630,00:00,00:00,00:00,00:00
5,SW,20140701,20140831,00:00,00:00,00:00,00:00
5,NW,20140101,20141231,00:00,00:00,00:00,00:00
6A,WW,20140901,20140630,00:00,00:00,00:00,00:00
6A,SW,20140701,20140831,00:00,00:00,00:00,00:00
6A,NW,20140101,20141231,00:00,00:00,00:00,00:00
6B,WW,20140901,20140630,00:00,00:00,00:00,00:00
6B,SW,20140701,20140831,00:00,00:00,00:00,00:00
6B,NW,20140101,20141231,00:00,00:00,00:00,00:00
7,WW,20140901,20140630,00:00,00:00,00:00,00:00
7,SW,20140701,20140831,00:00,00:00,00:00,00:00
7,NW,20140101,20141231,00:00,00:00,00:00,00:00
8,WW,20140901,20140630,00:00,00:00,00:00,00:00
8,SW,20140701,20140831,00:00,00:00,00:00,00:00
8,NW,20140101,20141231,00:00,00:00,00:00,00:00
9,WW,20140901,20140630,00:00,00:00,00:00,00:00
9,SW,20140701,20140831,00:00,00:00,00:00,00:00
9,NW,20140101,20141231,00:00,00:00,00:00,00:00
10,WW,20140901,20140630,00:00,00:00,00:00,00:00
10,SW,20140701,20140831,00:00,00:00,00:00,00:00
10,NW,20140101,20141231,00:00,00:00,00:00,00:00
11,WW,20140901,20140630,00:00,00:00,00:00,00:00
11,SW,20140701,20140831,00:00,00:00,00:00,00:00
11,NW,20140101,20141231,00:00,00:00,00:00,00:00
12,WW,20140901,20140630,00:00,00:00,00:00,00:00
12,SW,20140701,20140831,00:00,00:00,00:00,00:00
12,NW,20140101,20141231,00:00,00:00,00:00,00:00
13,WW,20140901,20140630,00:00,00:00,00:00,00:00
13,SW,20140701,20140831,00:00,00:00,00:00,00:00
13,NW,20140101,20141231,00:00,00:00,00:00,00:00
14,WW,20140901,20140630,00:00,00:00,00:00,00:00
14,SW,20140701,20140831,00:00,00:00,00:00,00:00
14,NW,20140101,20141231,00:00,00:00,00:00,00:00
15,WW,20140901,20140630,00:00,00:00,00:00,00:00
15,SW,20140701,20140831,00:00,00:00,00:00,00:00
15,NW,20140101,20141231,00:00,00:00,00:00,00:00
