id,name,time,comment
104 -,105 P.ZZA MATTEOTTI CAP.,7:30,
21-22,VIA LUCANA   -Boschetto-,7:32,
23,VIA LUCANA   -Inail-,7:34,
24,VIA LUCANA,7:35,
25,VIA LUCANA   -Provincia-,7:36,
26,VIA LUCANA   -Fr. Chiesa-,7:37,
27,VIA LUCANA,7:39,
28,VIA LUCANA   -Milizia-,7:39,
233,OSPEDALE     -CAPOLINEA-,7:40,
234,OSPEDALE     -CAPOLINEA-,7:45,
235,OSPEDALE,7:46,
39,VIA LUCANA   -Milizia-,7:47,
40,VIA LUCANA,7:48,
41,VIA LUCANA   -Chiesa-,7:50,
42,VIA LUCANA   -Provincia-,7:51,
43,VIA LUCANA,7:52,
44,VIA LUCANA   -Inail-,7:53,
45,VIA LUCANA   -Ex Bar Antico-,7:53,
104 -,105 P.ZZA MATTEOTTI CAP.,7:55,
104 -,105 P.ZZA MATTEOTTI CAP.,8:00,
21-22,VIA LUCANA   -Boschetto-,8:02,
23,VIA LUCANA   -Inail-,8:04,
24,VIA LUCANA,8:05,
25,VIA LUCANA   -Provincia-,8:06,
26,VIA LUCANA   -Fr. Chiesa-,8:07,
27,VIA LUCANA,8:09,
28,VIA LUCANA   -Milizia-,8:09,
233,OSPEDALE     -CAPOLINEA-,8:10,
234,OSPEDALE     -CAPOLINEA-,8:15,
235,OSPEDALE,8:16,
39,VIA LUCANA   -Milizia-,8:17,
40,VIA LUCANA,8:18,
41,VIA LUCANA   -Chiesa-,8:20,
42,VIA LUCANA   -Provincia-,8:21,
43,VIA LUCANA,8:22,
44,VIA LUCANA   -Inail-,8:22,
45,VIA LUCANA   -Ex Bar Antico-,8:23,
104 -,105 P.ZZA MATTEOTTI CAP.,8:25,
