id,name,time,comment
159,VIA DEI MESSAPI,6:15,CAPOLINEA
160,VIA DEI MESSAPI,6:15,
161,VIA DEI MESSAPI,6:15,
8,VIA DEI PEUCEZI,6:16,inc. Via Messapi
9,VIA DEI PEUCEZI,6:16,
10,VIA DEI PEUCEZI,6:17,inc. Via Japigi
11,VIA DEI PEUCEZI,6:18,
12,VIA NAZIONALE,6:20,Fr. Staz. Villa L.
13,VIA NAZIONALE,6:22,
14,VIA NAZIONALE,6:23,
15,VIA NAZIONALE,6:24,Fr. Farmacia
16,VIA NAZIONALE,6:25,
17,VIA ANNUNZIATELLA,6:26,
18,VIA ANNUNZIATELLA,6:26,
19,VIA ANNUNZIATELLA,6:27,inc.Via Rosselli
,VIA XX SETTEMBRE,6:28,
20,VIA LUCANA,6:28,
21-22,VIA LUCANA,6:30,Boschetto
23,VIA LUCANA,6:31,Inail
24,VIA LUCANA,6:32,
25,VIA LUCANA,6:33,Provincia
26,VIA LUCANA,6:34,Fr.Chiesa S.Rocco
27,VIA LUCANA,6:35,
28,VIA LUCANA,6:36,Milizia
90,VIA MONTESCAGLIOSO,6:37,Ospedale
91,VIA MONTESCAGLIOSO,6:39,
92,VIA MONTESCAGLIOSO,6:39,ASM
93,VIA MONTESCAGLIOSO,6:39,
162,VIA DELL'ARIETE,6:40,C.da S. Francesco
163,VIA DEL LEONE,6:42,
164,VIA DELLO SCORPIONE,6:43,
165,VIA DEL CAPRICORNO,6:44,
166,VIA DEI PESCI,6:45,
167,VIA RICCIARDI,6:46,
168,VIA RICCIARDI,6:46,
169,VIA FARINA,6:47,
170,VIA FRANGIONE,6:47,Fr. Scuola elem.
171,VIA GUIDA,6:48,
172,PIAZZA S. AGNESE,6:48,
173,VIA CAPPUCCINI,6:49,
174,VIA CAPPUCCINI,6:49,
175,VIA CAPPUCCINI,6:49,
39,VIA LUCANA,6:50,Milizia
40,VIA LUCANA,6:51,
41,VIA LUCANA,6:52,Chiesa S. Rocco
42,VIA LUCANA,6:53,Provincia
43,VIA LUCANA,6:54,
44,VIA LUCANA,6:55,Inail
45,VIA LUCANA,6:55,Ex Bar Antico
46,VIA LUCANA,6:55,Cinema Duni
,VIA XX SETTEMBRE,6:55,
47,VIA ANNUNZIATELLA,6:56,inc. Via Rosselli
48,VIA ANNUNZIATELLA,6:56,Cons. di Bonif.
176,VIA NAZIONALE,6:57,Madonnina
177,VIA NAZIONALE,6:57,
139,VIA NAZIONALE,6:58,Farmacia
140,VIA NAZIONALE,6:58,
141,VIA NAZIONALE,7:00,Staz. Villa Longo
178,VIA DEI PEUCEZI,7:00,
179,VIA DEI PEUCEZI,7:01,
180,VIA DEI PEUCEZI,7:01,
181,VIA DEI PEUCEZI,7:02,
182,VIA DEI MESSAPI,7:03,
183,VIA DEI MESSAPI,7:04,inc. Sparacartucce
184,VIA DEI MESSAPI,7:04,
159,VIA DEI MESSAPI,7:05,CAPOLINEA
