id,name,time,comment
104 -,105 PIAZZA MATTEOTTI,7:10,CAPOLINEA
46,VIA LUCANA,7:12,Cinema Duni
,VIA XX SETTEMBRE,7:12,
47,VIA ANNUNZIATELLA,7:13,inc. Via Rosselli
48,VIA ANNUNZIATELLA,7:13,Cons. di Bonif.
176,VIA NAZIONALE,7:14,Madonnina
177,VIA NAZIONALE,7:14,
139,VIA NAZIONALE,7:15,Farmacia
140,VIA NAZIONALE,7:16,
141,VIA NAZIONALE,7:17,Staz. Villa Longo
142,C.DA QUARTARELLA,7:18,
,S.S. 99,7:19,
,* ITA-AGEFORMA,7:20,IPSIA
,S.S. 99,7:22,
285,CENTRO COMMERCIALE,7:25,
286,BORGO VENUSIO,7:26,Htl Hilton G.
287,BORGO VENUSIO,7:27,Chiesa S. Giovanni
288,BORGO VENUSIO,7:28,
289,BORGO VENUSIO,7:30,
290,BORGO VENUSIO,7:31,
291,BORGO VENUSIO,7:31,
285,CENTRO COMMERCIALE,7:34,
,S.S. 99,7:35,
,* ITA-AGEFORMA,7:35,
,S.S. 99,7:36,
150,C.DA QUARTARELLA,7:37,
151,C.DA QUARTARELLA,7:38,
12,VIA NAZIONALE,7:38,Fr. Staz. Villa L.
13,VIA NAZIONALE,7:39,
14,VIA NAZIONALE,7:39,
15,VIA NAZIONALE,7:40,Fr. Farmacia
16,VIA NAZIONALE,7:41,
17,VIA ANNUNZIATELLA,7:43,
18,VIA ANNUNZIATELLA,7:44,
19,VIA ANNUNZIATELLA,7:46,inc.Via Rosselli
,VIA XX SETTEMBRE,7:47,
20,VIA LUCANA,7:48,
104 -,105 PIAZZA MATTEOTTI,7:50,CAPOLINEA
104 -,105 PIAZZA MATTEOTTI,8:00,CAPOLINEA
46,VIA LUCANA,8:02,Cinema Duni
,VIA XX SETTEMBRE,8:02,
47,VIA ANNUNZIATELLA,8:03,inc. Via Rosselli
48,VIA ANNUNZIATELLA,8:03,Cons. di Bonif.
176,VIA NAZIONALE,8:04,Madonnina
177,VIA NAZIONALE,8:04,
139,VIA NAZIONALE,8:05,Farmacia
140,VIA NAZIONALE,8:06,
141,VIA NAZIONALE,8:07,Staz. Villa Longo
142,C.DA QUARTARELLA,8:08,
,S.S. 99,8:10,
,S.S. 99,8:12,IPSIA
285,CENTRO COMMERCIALE,8:20,
286,BORGO VENUSIO,8:21,
287,BORGO VENUSIO,8:22,Htl Hilton G.
288,BORGO VENUSIO,8:23,Chiesa S. Giovanni
289,BORGO VENUSIO,8:25,
290,BORGO VENUSIO,8:26,
291,BORGO VENUSIO,8:26,
285,CENTRO COMMERCIALE,8:29,
,S.S. 99,8:30,
,S.S. 99,8:30,
150,C.DA QUARTARELLA,8:32,
151,C.DA QUARTARELLA,8:33,
12,VIA NAZIONALE,8:33,
13,VIA NAZIONALE,8:34,
14,VIA NAZIONALE,8:34,Fr. Staz. Villa L.
15,VIA NAZIONALE,8:35,
16,VIA NAZIONALE,8:36,
17,VIA ANNUNZIATELLA,8:38,Fr. Farmacia
18,VIA ANNUNZIATELLA,8:39,
19,VIA ANNUNZIATELLA,8:41,
,VIA XX SETTEMBRE,8:42,
20,VIA LUCANA,8:43,inc.Via Rosselli
104 -,105 PIAZZA MATTEOTTI,7:50,CAPOLINEA
